#1
double EnergyPlus(2881,11)
#This file contains the results from the EnergyPlus simulation
#Column 0: Time in seconds
#Column 1: ZONE1FANCOIL:Fan Coil Heating Rate [W](TimeStep)
#Column 2: ZONE1FANCOIL:Fan Coil Total Cooling Rate [W](TimeStep)
#Column 3: ZONE1FANCOIL:Fan Coil Fan Electricity Rate [W](TimeStep)
#Column 4: ZONE1FANCOILAIROUTLETNODE:System Node Temperature [C](TimeStep)
#Column 5: ZONE1FANCOILAIRINLETNODE:System Node Temperature [C](TimeStep)
#Column 6: ZONE1FANCOILAIRINLETNODE:System Node Mass Flow Rate [kg/s](TimeStep)
#Column 7: ZONE1FANCOILCHWINLETNODE:System Node Temperature [C](TimeStep)
#Column 8: ZONE1FANCOILCHWINLETNODE:System Node Mass Flow Rate [kg/s](TimeStep)
#Column 9: ZONE1FANCOILHWINLETNODE:System Node Temperature [C](TimeStep)
#Column 10: ZONE1FANCOILHWINLETNODE:System Node Mass Flow Rate [kg/s](TimeStep)
0,1.287e+03,0.000e+00,7.228e+00,3.494e+01,1.500e+01,6.404e-02,7.220e+00,0.000e+00,8.200e+01,5.305e-02
60,1.287e+03,0.000e+00,7.228e+00,3.494e+01,1.500e+01,6.404e-02,7.220e+00,0.000e+00,8.200e+01,5.305e-02
120,1.289e+03,0.000e+00,7.231e+00,3.496e+01,1.500e+01,6.410e-02,7.220e+00,0.000e+00,8.200e+01,5.309e-02
180,1.291e+03,0.000e+00,7.233e+00,3.497e+01,1.500e+01,6.415e-02,7.220e+00,0.000e+00,8.200e+01,5.314e-02
240,1.294e+03,0.000e+00,7.235e+00,3.499e+01,1.500e+01,6.421e-02,7.220e+00,0.000e+00,8.200e+01,5.319e-02
300,1.296e+03,0.000e+00,7.237e+00,3.501e+01,1.500e+01,6.426e-02,7.220e+00,0.000e+00,8.200e+01,5.323e-02
360,1.298e+03,0.000e+00,7.239e+00,3.503e+01,1.500e+01,6.432e-02,7.220e+00,0.000e+00,8.200e+01,5.328e-02
420,1.300e+03,0.000e+00,7.242e+00,3.504e+01,1.500e+01,6.437e-02,7.220e+00,0.000e+00,8.200e+01,5.332e-02
480,1.302e+03,0.000e+00,7.244e+00,3.506e+01,1.500e+01,6.442e-02,7.220e+00,0.000e+00,8.200e+01,5.337e-02
540,1.305e+03,0.000e+00,7.246e+00,3.508e+01,1.500e+01,6.448e-02,7.220e+00,0.000e+00,8.200e+01,5.341e-02
